topic,frequency,topic,frequency
病例,144,病例,188
新冠,61,武汉,97
武汉,52,疫情,75
冠状病毒,48,新闻,61
直播,47,直播,50
防控,44,美国,48
确诊,37,中国,37
疫情,35,确诊,33
联控,33,肺炎,32
央视,30,医院,28
肺炎,23,防控,25
感染者,21,湖北,20
特朗普,18,感染者,19
链接,17,患者,19
口罩,17,新增,19
视频,17,输入,18
春晚,15,感染,17
钟南山,15,开学,16
珠峰,15,链接,15
微博,14,口罩,14
输入,13,病毒,14
开学,11,视频,14
疑似病例,10,检测,14
湖北,10,截至,13
春天,10,新冠,12
世卫,10,钟南山,12
绥芬河,10,珠峰,12
朱广权,9,人员,11
检测,9,隔离,10
抗疫,9,青春,9
解封,9,组织,9
新闻,8,消费,8
航班,7,学生,8
返校,7,转发,8
卫健委,7,地震,8
青春,7,致敬,7
医疗队,6,乘客,7
病毒,6,北京,7
公共卫生,6,工作,7
蓬佩奥,6,绥芬河,7
静静,6,记者,6
家务活,5,出院,6
潜水器,5,遗址,6
总台,5,韩国,6
消毒剂,5,日本,6
年级,5,时间,6
援鄂,5,俄罗斯,5
消费,5,总台,5
医院,5,海军,5
神山,5,黑龙江,5
韩国,5,航班,5
中国航天,5,突发,5
5G,4,发热,5
崔天凯,4,消毒剂,4
征名,4,战疫,4
小珠山,4,回国,4
疫苗,4,航天,4
方舱,4,经济,4
乘客,4,潜水器,4
柳叶刀,4,队员,4
耿爽,4,印度,4
致敬,4,北京市,4
出院,4,解封,4
高三,4,取消,4
快递,4,留学生,4
气温,4,高校,4
船员,3,回家,4
景区,3,火灾,4
发热,3,物资,4
空间站,3,风险,4
拼过,3,疫苗,4
个省,3,试验,4
带货,3,香港,4
留学生,3,国家,4
美方,3,电影,4
加油,3,开放,4
马云,3,应急,3
响应,3,英国,3
白宇,3,社区,3
清零,3,毕业生,3
急救,3,旅游,3
夜读,3,返校,3
遗址,3,景区,3
外交部,3,欧洲,3
鼠年,3,大桥,3
应急,3,死亡,3
复工,3,入院,3
黑龙江,3,问题,3
物资,3,投票,3
入院,3,医疗队,3
床位,3,脱贫,3
小龙虾,3,大家,3
约翰逊,3,恢复,3
专家组,3,治疗,3
复课,3,飞机,3
音乐会,3,集装箱,3
华春莹,3,公共卫生,3
时起,3,响应,3
大使,3,接受,3
性侵,3,没有,3
北京市,3,陕西,3
患者,3,表示,3
白宫,3,发生,3
驰援,3,举行,3
iPanda,3,撤离,3
塞尔维亚,3,小区,3
欧洲,2,劳动者,3
澳门,2,专家,3
热干面,2,野味,3
离汉,2,阳性,3
医学观察,2,车辆,3
机票,2,温州,2
爸妈,2,孩子,2
美食,2,牡丹江,2
纽约,2,纽约,2
山火,2,音乐,2
老伴,2,婚纱照,2
春节,2,西班牙,2
同乘,2,公布,2
绥芬河市,2,窗帘,2
虎门,2,病房,2
火星,2,集中,2
张文宏,2,国际,2
团聚,2,会费,2
例为,2,监狱,2
口岸,2,需要,2
朋友圈,2,出发,2
某某,2,地球,2
坠毁,2,迎来,2
扩招,2,政府,2
撤离,2,团队,2
普洱,2,巴基斯坦,2
故宫,2,西藏,2
大桥,2,安徽省,2
五一劳动节,2,垃圾,2
轨迹,2,纽约州,2
医护人员,2,拥抱,2
常阳,2,道菜,2
设计师,2,同学,2
劳动者,2,死刑,2
传染病,2,贫困县,2
美好生活,2,火神,2
载人,2,发布会,2
新闻调查,2,分享,2
垃圾,2,考研,2
书店,2,疾控中心,2
